id,title,price,description,images,location
13078,"Rent a RYOBI (Leaf Blower) 18V ONE+ 350 CFM BLOWER
PCLLB01B",15,"Check out my RYOBI (Leaf Blower) 18V ONE+ 350 CFM BLOWER
PCLLB01B for rent! [BREAK] Battery powered  ""350 CFM & 100 MPH Ideal for Hard Surfaces & Dry Leaves""  ""70 Minutes of Runtime Using 18V ONE+ 4Ah Battery""  ""Maximum Control with Variable Speed Trigger","['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-05-01/images/6fbe118b-e965-41b0-e4e7-bca1fa94eb00.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-05-01/images/a30b8d02-222c-4f94-6c8a-d88bef866300.jpg']",83687
13077,Rent a Chaffing Dishes 8 quartz ,25,Check out my Chaffing Dishes 8 quartz  for rent! [BREAK] Chaffing dishes for parties ,"['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-05-01/images/2f31ed3f-e144-44ad-da98-af1da5bc7900.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-05-01/images/2c153287-fabf-49f8-005c-80ff64a88800.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-05-01/images/fc98fede-4c0b-416c-fe64-f80900c4bf00.jpg']",38401
13076,Rent a Camping Cot,5,Check out my Camping Cot for rent! [BREAK] Extra large camping cots with cushion.  ,"['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-05-01/images/4d7d56e5-cb28-4bcf-8c78-b99256cd3500.jpg', '/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-05-01/images/8a3fd627-0a21-47b3-1fa9-798a844ed300.jpg']",84058
13075,Rent a Car jump starter with air ,5,Check out my Car jump starter with air  for rent! [BREAK] Car jump starter with air ,['/Users/Bryce/Documents/Yoodlize/fb_Automation/data_2025-05-01/images/64dd774d-15a1-4728-309a-8ac51c456900.jpg'],48111
